A0,PA0
A2,PA2
A4,PA4
A7,PA7
A8,PA8
A9,PA9
A10,PA10
A13,PA13
A14,PA14
B7,PB7
B12,PB12
B13,PB13
B14,PB14
B15,PB15
C1,PC1
C2,PC2
C3,PC3
C4,PC4
C5,PC5
C8,PC8
C9,PC9
C10,PC10
C11,PC11
C12,PC12
C13,PC13
D0,PD0
D1,PD1
D2,PD2
D4,PD4
D5,PD5
D7,PD7
D8,PD8
D9,PD9
D14,PD14
E0,PE0
E1,PE1
E7,PE7
E8,PE8
E9,PE9
E10,PE10
SW,PC13
LED_BLUE,PC1
USB_DM,PA11
USB_DP,PA12
SWDIO,PA13
SWCLK,PA14
SPI6_NSS,PA15
SPI6_SCK,PB3
SPI6_MISO,PB4
SPI6_MOSI,PB5
QSPI_CS,PB6
QSPI_SCK,PB2
QSPI_IO0,PD11
QSPI_IO1,PD12
QSPI_IO2,PE2
QSPI_IO3,PD13
LCD_R2,PA1
LCD_R3,PB0
LCD_R4,PA5
LCD_R5,PC0
LCD_R6,PB1
LCD_R7,PE15
LCD_G2,PA6
LCD_G3,PE11
LCD_G4,PB10
LCD_G5,PB11
LCD_G6,PC7
LCD_G7,PD3
LCD_B2,PD6
LCD_B3,PD10
LCD_B4,PE12
LCD_B5,PA3
LCD_B6,PB8
LCD_B7,PB9
LCD_CLK,PE14
LCD_DE,PE13
LCD_VS,PA4
LCD_HS,PC6
TOUCH_RST,PE3
TOUCH_INT,PE4
TOUCH_SCLK,PE5
TOUCH_SDA,PE6
